AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|3|E|EL ORO|ARENILLAS|0,0000|22210,5800|0,0000|0,0000|0,0000|4648,5300|2007,2200|0,0000|4637,5500|11293,3000|22210,5800
2025|3|S|AZUAY|GUACHAPALA|2257,1900|0,0000|0,0000|0,0000|0,0000|2745,1800|342,7200|0,0000|0,0000|3087,9000|2257,1900
2025|3|N|GUAYAS|PEDRO CARBO|28616,8300|25,0000|0,0000|0,0000|0,0000|4677,7100|25011,2700|0,0000|445,0000|30133,9800|28641,8300
2025|3|L|EL ORO|MACHALA|2578100,5800|1711031,3600|0,0000|19824,5200|0,0000|2489819,8000|879636,4400|38042,6300|244204,7400|3690878,5200|4308956,4600
2025|3|A|IMBABURA|COTACACHI|288736,0100|856235,3400|0,0000|10,0000|2116456,2000|1313844,1400|1136479,5600|257671,2400|11019,3900|2727774,8600|3261437,5500
2025|3|D|GALAPAGOS|SAN CRISTOBAL|0,0000|1961870,5800|0,0000|0,0000|0,0000|582147,4700|1787234,8600|0,0000|0,0000|2369382,3300|1961870,5800
2025|3|J|GUAYAS|SANTA LUCIA|131998,2300|0,0000|0,0000|0,0000|0,0000|85814,3700|7262,7800|0,0000|0,0000|93265,2500|131998,2300
2025|3|B|AZUAY|CAMILO PONCE ENRIQUEZ|252343,2700|3015625,1000|0,0000|0,0000|3145089,3700|3422630,1900|784215,3200|4446,8800|36409,2800|4275136,4700|6413057,7400
2025|3|O|TUNGURAHUA|BAÑOS DE AGUA SANTA|59068,5400|439877,2600|0,0000|0,0000|0,0000|507921,9900|43276,2300|0,0000|6310,5200|557508,7400|498945,8000
2025|3|E|AZUAY|PUCARA|0,0000|170,0000|0,0000|0,0000|0,0000|575,1900|0,0000|0,0000|0,0000|575,1900|170,0000
2025|3|C|IMBABURA|SAN MIGUEL DE URCUQUI|16455,9500|1816,0000|0,0000|0,0000|0,0000|12259,7200|1150,9000|0,0000|2610,9700|16022,9200|18271,9500
2025|3|L|CHIMBORAZO|RIOBAMBA|1124542,1300|381751,0700|3862,2100|1136,1500|0,0000|538760,1200|131781,1500|2848,3800|24051,5000|744330,0200|1511291,5600
2025|3|G|CARCHI|BOLIVAR|54543,8600|429955,3900|0,0000|2727,0000|287316,7000|121293,0300|525971,3600|0,0000|225,0000|660144,9100|774542,9500
2025|3|C|GUAYAS|GENERAL ANTONIO ELIZALDE|15366,3000|112446,3700|0,0000|0,0000|0,0000|30536,9100|56408,3700|0,0000|223,0800|87168,3600|127812,6700
2025|3|Q|LOS RIOS|BABAHOYO|57625,0800|759388,7900|0,0000|0,0000|0,0000|2101381,2700|616072,3000|0,0000|15062,8900|2732603,6800|817013,8700
2025|3|M|LOS RIOS|BABA|144634,3200|198695,3300|0,0000|0,0000|0,0000|79377,5700|172477,6300|0,0000|26360,0000|279143,6500|343329,6500
2025|3|C|LOJA|ESPINDOLA|124,9900|10,0000|0,0000|0,0000|0,0000|2659,7800|71,9300|0,0000|0,0000|2731,7100|134,9900
2025|3|C|GUAYAS|SANTA LUCIA|38727,8000|3280791,3300|0,0000|0,0000|139972,5600|273288,3200|1952873,0600|0,0000|30971,1900|2265386,6900|3459491,6900
2025|3|I|LOS RIOS|QUINSALOMA|22814,9500|17587,8500|0,0000|0,0000|0,0000|13378,8000|19992,6600|0,0000|0,0000|33371,4600|40402,8000
2025|3|I|AZUAY|SANTA ISABEL|47814,9700|17505,4000|5534,5000|0,0000|0,0000|28494,3100|17346,9800|0,0000|2467,3000|48331,1900|70854,8700
2025|3|R|ORELLANA|ORELLANA|17381,7600|12671,5200|0,0000|0,0000|0,0000|24976,6200|3336,1500|0,0000|0,0000|28375,3600|30053,2800
2025|3|F|TUNGURAHUA|TISALEO|10598,0800|0,0000|0,0000|0,0000|0,0000|17854,0600|67,0000|0,0000|138,0000|18611,4900|10598,0800
2025|3|K|LOS RIOS|BABAHOYO|0,0000|250,0000|0,0000|0,0000|0,0000|300,0000|0,0000|0,0000|0,0000|300,0000|250,0000
2025|3|O|LOS RIOS|QUEVEDO|6600,6200|55749,8200|0,0000|0,0000|0,0000|615393,0400|379119,8600|0,0000|0,0000|994512,9000|62350,4400
2025|3|H|EL ORO|BALSAS|7014,6800|141694,5000|0,0000|0,0000|0,0000|11920,3000|148522,2800|0,0000|1575,0000|162017,5800|148709,1800
2025|3|F|CARCHI|ESPEJO|51501,0100|1,0000|0,0000|0,0000|0,0000|7599,2900|15017,8000|0,0000|4781,7500|40019,8700|51502,0100
2025|3|R|MORONA SANTIAGO|TIWINTZA|0,0100|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0100
2025|3|C|GALAPAGOS|SAN CRISTOBAL|56401,0800|13180,8500|0,0000|118,1100|0,0000|33826,4100|17572,5800|0,0000|1485,7500|52908,3700|69700,0400
2025|3|S|LOJA|PINDAL|2922,8200|369741,0400|0,0000|0,0000|0,0000|3763,2300|341455,9200|0,0000|0,0000|345219,1500|372663,8600
2025|3|A|CHIMBORAZO|CHUNCHI|667,0500|2787,3100|0,0000|0,0000|0,0000|532,3000|134,7100|0,0000|0,0000|667,0100|3454,3600
2025|3|F|MANABI|SANTA ANA|136028,2700|24176,8000|1014,2400|0,0000|0,0000|72786,0600|9674,9500|0,0000|1,5000|100109,3400|161219,3100
2025|3|F|MANABI|SUCRE|121412,3500|4147,0000|0,0000|0,0000|0,0000|88106,5600|6468,8400|0,0000|6235,1300|106056,7500|125559,3500
2025|3|N|MANABI|CHONE|364894,7500|5977,8200|0,0000|0,0000|0,0000|89065,2300|11419,4200|0,0000|0,0000|100484,6500|370872,5700
2025|3|F|MANABI|FLAVIO ALFARO|11511,8200|0,0000|0,0000|0,0000|0,0000|9729,3200|21091,0000|0,0000|0,0000|35391,7500|11511,8200
2025|3|I|GUAYAS|GENERAL ANTONIO ELIZALDE|85898,1300|5789,8300|0,0000|0,0000|0,0000|35134,9200|19142,9500|0,0000|1967,0000|56244,8700|91687,9600
2025|3|Q|EL ORO|EL GUABO|2131,4200|74161,9500|0,0000|0,0000|0,0000|36669,4100|41107,4300|0,0000|296,0000|78099,8700|76293,3700
2025|3|M|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|168173,6300|70332,6400|0,0000|0,0000|0,0000|169514,6200|29201,8200|14917,1000|7511,9900|229077,5200|238506,2700
2025|3|G|IMBABURA|SAN MIGUEL DE URCUQUI|174378,9800|344672,7100|0,0000|29349,9300|0,0000|217624,4600|303648,1000|0,0000|2769,5000|527880,3200|548401,6200
2025|3|J|MANABI|EL CARMEN|131122,8500|6566,8100|0,0000|0,0000|0,0000|74111,7700|1577,6000|0,0000|8704,0000|85732,4800|137689,6600
2025|3|K|GUAYAS|PEDRO CARBO|100,0000|0,0000|0,0000|0,0000|0,0000|200,0000|0,0000|0,0000|0,0000|200,0000|100,0000
2025|3|B|LOJA|CATAMAYO|200,8800|2364,0000|0,0000|27688,2000|0,0000|29677,9900|2081,8100|0,0000|0,0000|31759,8000|30253,0800
2025|3|S|MANABI|PAJAN|3004,5300|5513,9500|0,0000|0,0000|0,0000|1943,3400|826,3900|0,0000|401,4000|3171,1300|8518,4800
2025|3|M|NAPO|QUIJOS|74513,9400|12154,1900|0,0000|0,0000|0,0000|66615,6500|22751,4400|0,0000|235,5000|92112,5200|86668,1300
2025|3|G|SUCUMBIOS|SUCUMBIOS|4205,0300|8333,9600|0,0000|0,0000|0,0000|9684,5100|3575,7900|0,0000|131,0100|13391,3100|12538,9900
2025|3|K|TUNGURAHUA|AMBATO|882950,3200|17937553,1300|0,0000|0,0000|0,0000|4774061,2900|9456519,1000|0,0000|300577,8600|14558401,6300|18820503,4500
2025|3|N|BOLIVAR|ECHEANDIA|3319,6200|6232,6000|0,0000|0,0000|0,0000|1853,3000|5264,0000|0,0000|0,0000|7117,3000|9552,2200
